Puss in Boots: The Last Wish,7.9,"Animation, Adventure, Comedy"
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,6.6,"Animation, Action, Adventure"
Guillermo del Toro's Pinocchio,7.6,"Animation, Drama, Family"
"Lyle, Lyle, Crocodile",6.1,"Animation, Adventure, Comedy"
The Lion King,6.8,"Animation, Adventure, Drama"
Marcel the Shell with Shoes On,7.7,"Animation, Comedy, Drama"
Encanto,7.2,"Animation, Comedy, Family"
Sing 2,7.4,"Animation, Adventure, Comedy"
Mummies,6.0,"Animation, Comedy, Family"
Puss in Boots,6.6,"Animation, Adventure, Comedy"
Spider-Man: Into the Spider-Verse,8.4,"Animation, Action, Adventure"
The Lion King,8.5,"Animation, Adventure, Drama"
Strange World,5.6,"Animation, Action, Adventure"
Cars,7.2,"Animation, Adventure, Comedy"
The Bad Guys,6.8,"Animation, Adventure, Comedy"
Spirited Away,8.6,"Animation, Adventure, Family"
Turning Red,7.0,"Animation, Adventure, Comedy"
Ratatouille,8.1,"Animation, Adventure, Comedy"
Minions: The Rise of Gru,6.5,"Animation, Adventure, Comedy"
The Sea Beast,7.0,"Animation, Adventure, Comedy"
Zootopia,8.0,"Animation, Adventure, Comedy"
Moana,7.6,"Animation, Adventure, Comedy"
Shrek,7.9,"Animation, Adventure, Comedy"
Sing,7.1,"Animation, Comedy, Family"
Toy Story,8.3,"Animation, Adventure, Comedy"
Suzume,7.9,"Animation, Action, Adventure"
Frozen,7.4,"Animation, Adventure, Comedy"
Howl's Moving Castle,8.2,"Animation, Adventure, Family"
Inside Out,8.2,"Animation, Adventure, Comedy"
Your Name.,8.4,"Animation, Drama, Fantasy"
Coco,8.4,"Animation, Adventure, Comedy"
How to Train Your Dragon,8.1,"Animation, Action, Adventure"
Kung Fu Panda,7.6,"Animation, Action, Adventure"
Finding Nemo,8.2,"Animation, Adventure, Comedy"
Tangled,7.7,"Animation, Adventure, Comedy"
Hercules,7.3,"Animation, Adventure, Comedy"
The Amazing Maurice,6.3,"Animation, Adventure, Comedy"
Disenchanted,5.6,"Animation, Adventure, Comedy"
"Monsters, Inc.",8.1,"Animation, Adventure, Comedy"
WALL·E,8.4,"Animation, Adventure, Family"
The Incredibles,8.0,"Animation, Action, Adventure"
Up,8.3,"Animation, Adventure, Comedy"
A Bug's Life,7.2,"Animation, Adventure, Comedy"
DC League of Super-Pets,7.2,"Animation, Action, Adventure"
Beauty and the Beast,8.0,"Animation, Family, Fantasy"
Shrek 2,7.3,"Animation, Adventure, Comedy"
Fantastic Mr. Fox,7.9,"Animation, Adventure, Comedy"
The Little Mermaid,7.6,"Animation, Adventure, Comedy"
Aladdin,8.0,"Animation, Adventure, Comedy"
Trolls,6.4,"Animation, Adventure, Comedy"
Soul,8.0,"Animation, Adventure, Comedy"
The Princess and the Frog,7.1,"Animation, Adventure, Comedy"
Grave of the Fireflies,8.5,"Animation, Drama, War"
Despicable Me,7.6,"Animation, Adventure, Comedy"
Toy Story 3,8.3,"Animation, Adventure, Comedy"
Lightyear,6.1,"Animation, Action, Adventure"
Enchanted,7.1,"Animation, Adventure, Comedy"
Toy Story 4,7.7,"Animation, Adventure, Comedy"
